Skill category (level 2),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%)
Financial services,9.0,9.28,9.42,10.06,9.83
Business & public governance,8.23,8.19,8.55,8.09,8.02
Marketing & product management,7.25,7.14,5.22,5.58,5.17
Engineering,6.13,6.24,6.55,6.44,6.9
Sales,5.59,4.43,6.47,6.08,5.57
Teaching,5.0,4.97,4.7,4.5,4.62
Software development,4.91,6.57,6.46,6.6,6.66
Data science & data engineering,4.61,5.12,5.28,5.21,5.45
"Legal, secretarial & translation",3.81,3.68,3.26,3.52,3.16
Construction,3.39,3.26,3.58,3.13,3.2
Manufacturing,3.06,2.53,2.75,2.8,2.58
Production management,2.93,2.96,2.63,2.64,2.93
Business operations & analytics,2.91,2.78,2.42,2.3,2.25
Logistics,2.7,2.35,2.11,2.01,2.5
Social services,2.08,2.55,2.08,2.27,2.29
Nursing,2.06,1.76,1.68,1.87,2.06
Cleaning & personal assistance,1.93,1.68,1.86,1.98,2.03
Gardening & landscaping,1.63,1.87,1.6,1.69,1.33
Science & architecture,1.52,1.29,1.5,1.54,1.35
Catering,1.39,1.12,1.45,1.33,1.3
Web development,1.17,1.31,0.96,0.87,0.85
Infrastructure,1.14,0.98,0.96,0.81,0.85
Rehabilitation & general practice,1.12,0.9,1.2,1.33,1.53
Shop management,1.07,1.37,0.84,0.71,0.68
Tourism & hospitality,1.03,0.98,0.69,0.66,0.65
Vehicle sales & maintenance,0.91,0.78,0.8,0.87,0.68
Biomedical analyses,0.9,0.8,0.78,0.83,0.72
Telecommunications,0.89,0.84,0.93,0.79,0.88
Ict security,0.87,0.9,0.9,0.87,0.93
Chemical production,0.85,1.03,0.87,0.75,0.76
Education management,0.84,1.09,0.87,0.8,0.93
Clinical psychology,0.81,0.8,0.82,0.84,0.9
Food production management,0.75,0.67,0.76,0.76,0.81
Emergency healthcare,0.71,0.7,0.82,1.03,1.34
"Mining, oil & gas",0.62,0.64,0.55,0.61,0.66
Audiovisual arts & communication,0.59,0.61,0.6,0.62,0.62
Various medical treatments,0.58,0.55,0.58,0.54,0.59
Stage & props management,0.57,0.49,0.52,0.51,0.44
Pharmacy,0.51,0.7,0.95,0.82,0.79
Wood production & carpentry,0.39,0.31,0.39,0.4,0.49
Graphic design & printing,0.33,0.33,0.39,0.42,0.36
Textile production & tailoring,0.32,0.29,0.28,0.23,0.22
Agriculture,0.29,0.33,0.32,0.31,0.31
Security & military,0.29,0.35,0.27,0.28,0.3
Air travel,0.25,0.31,0.4,0.3,0.39
Land transport,0.21,0.2,0.28,0.19,0.22
Outdoors & youth activities,0.19,0.16,0.19,0.19,0.19
Artistic activities,0.18,0.15,0.17,0.22,0.18
Radiation therapy,0.14,0.14,0.17,0.28,0.18
Languages,0.14,0.24,0.7,0.73,0.58
Event management,0.13,0.13,0.14,0.17,0.14
Confectionery & baking,0.13,0.13,0.14,0.18,0.18
Art management,0.12,0.12,0.09,0.09,0.08
General core skills,0.11,0.09,0.23,0.2,0.22
Land transport (rail),0.1,0.11,0.06,0.06,0.09
Maritime transport & fishing,0.09,0.07,0.05,0.05,0.07
Pregnancy & massaging,0.07,0.07,0.17,0.17,0.23
Aquaculture,0.06,0.08,0.08,0.08,0.1
Wildlife & forestry,0.06,0.07,0.06,0.1,0.05
Religion and officiation,0.06,0.05,0.05,0.04,0.05
Leather & footwear production,0.05,0.04,0.06,0.05,0.05
Alcoholic beverage production,0.05,0.06,0.05,0.13,0.12
Library management,0.04,0.04,0.05,0.05,0.07
Beauty,0.04,0.08,0.11,0.26,0.18
Food production,0.03,0.03,0.04,0.05,0.06
Meat production,0.02,0.03,0.02,0.03,0.03
Music & art therapy,0.02,0.02,0.01,0.01,0.02
Gambling & lotteries,0.01,0.01,0.01,0.0,0.0
Animal welfare,0.01,0.02,0.03,0.03,0.03
Music,0.01,0.01,0.0,0.01,0.01
Animal husbandry,0.01,0.01,0.01,0.03,0.03
Sports management,0.01,0.0,0.0,0.0,0.0
Coffee production,0.0,0.0,0.0,0.0,0.0
Sports,0.0,0.0,0.0,0.0,0.0
Watch & toy making,0.0,0.0,0.0,0.0,0.0
Tobacco production,0.0,0.0,0.0,0.0,0.0
