Skill category (level 1),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%)
"Business, law & finance",31.21,31.07,28.88,29.54,28.41
"Science, manufacturing & engineering",20.03,19.23,19.79,19.13,19.72
Digital,12.83,15.11,14.96,14.83,15.2
Customer service,12.09,10.58,12.35,12.05,11.23
Education & social services,8.17,8.83,7.88,7.79,8.08
Healthcare,6.9,6.44,7.17,7.72,8.37
Transport & logistics,3.35,3.04,2.9,2.61,3.26
Farming & forests,2.07,2.38,2.1,2.23,1.85
Arts,1.47,1.38,1.38,1.45,1.32
Food production,0.98,0.92,1.02,1.16,1.2
"Textiles, leather & footwear",0.38,0.33,0.35,0.28,0.27
Security & military,0.29,0.35,0.27,0.28,0.3
Languages,0.14,0.24,0.7,0.73,0.58
General core skills,0.11,0.09,0.23,0.2,0.22
Sports,0.01,0.0,0.0,0.01,0.0
